student_type,openai,unsteered
apathetic_neg,0.6,0.95
apathetic_pos,0.8,0.9
evil_neg,0.5,1.0
evil_pos,0.5,0.7
hallucinating_neg,0.6,0.95
hallucinating_pos,0.45,0.85
humorous_neg,0.45,0.9
humorous_pos,0.45,0.5
impolite_neg,0.5,0.9
impolite_pos,0.5,0.75
optimistic_neg,0.55,0.95
optimistic_pos,0.5,0.75
sycophantic_neg,0.5,0.9
sycophantic_pos,0.65,0.7
unsteered,0.7,0.85
